timestamps,prices,consumption,fossil_generation,wind_generation,month,date
2023-07-15 00:00:00,105.68,32.32,18.59,9.81,summer,2023-07-15
2023-07-15 01:00:00,104.92,30.77,17.13,9.27,summer,2023-07-15
2023-07-15 02:00:00,102.18,29.29,16.75,8.27,summer,2023-07-15
2023-07-15 03:00:00,95.92,28.63,16.08,8.07,summer,2023-07-15
2023-07-15 04:00:00,100.32,28.18,15.97,7.89,summer,2023-07-15
2023-07-15 05:00:00,99.2,27.87,15.35,7.87,summer,2023-07-15
2023-07-15 06:00:00,98.0,28.77,15.01,8.65,summer,2023-07-15
2023-07-15 07:00:00,100.0,30.94,15.42,11.85,summer,2023-07-15
2023-07-15 08:00:00,100.0,33.23,15.11,15.89,summer,2023-07-15
2023-07-15 09:00:00,91.75,34.92,14.82,18.41,summer,2023-07-15
2023-07-15 10:00:00,92.71,35.4,13.94,20.46,summer,2023-07-15
2023-07-15 11:00:00,88.95,35.27,12.71,21.69,summer,2023-07-15
2023-07-15 12:00:00,87.2,34.93,13.19,22.05,summer,2023-07-15
2023-07-15 13:00:00,87.2,34.74,13.32,22.04,summer,2023-07-15
2023-07-15 14:00:00,87.2,34.64,13.31,22.02,summer,2023-07-15
2023-07-15 15:00:00,87.95,34.45,12.99,21.46,summer,2023-07-15
2023-07-15 16:00:00,92.92,34.93,14.18,20.66,summer,2023-07-15
2023-07-15 17:00:00,98.83,35.66,16.4,19.42,summer,2023-07-15
2023-07-15 18:00:00,106.82,36.5,18.17,17.03,summer,2023-07-15
2023-07-15 19:00:00,140.04,37.19,19.18,14.84,summer,2023-07-15
2023-07-15 20:00:00,143.49,36.84,19.29,13.91,summer,2023-07-15
2023-07-15 21:00:00,147.51,36.28,19.67,13.69,summer,2023-07-15
2023-07-15 22:00:00,122.57,34.68,19.4,12.06,summer,2023-07-15
2023-07-15 23:00:00,112.11,32.2,19.0,10.79,summer,2023-07-15
