timestamps,consumption,wind_generation,fossil_generation,prices,year
2021-01-01 09:00:00,20582.8033169999,3885.75,8477.75,28.965866544401923,2021
2021-01-01 10:00:00,19930.106541,4002.1666666666665,7940.666666666667,28.690318554270224,2021
2021-01-01 11:00:00,19621.308843,3705.6666666666665,7665.666666666667,29.495894768041484,2021
2021-01-01 12:00:00,19610.888536,3814.3333333333335,7835.916666666667,28.89325029617517,2021
2021-01-01 13:00:00,20048.86142,3665.25,7984.5,29.017971173004963,2021
2021-01-01 14:00:00,20783.529065,3483.3333333333335,8177.25,32.01355999946813,2021
2021-01-01 15:00:00,20887.006871,4335.833333333333,8008.5,29.576591441396964,2021
2021-01-01 16:00:00,20222.0012839999,8893.583333333334,6360.25,15.87967669874457,2021
2021-01-01 17:00:00,19303.992827,11900.083333333334,5591.333333333333,7.02539752664656,2021
2021-01-01 18:00:00,18510.122928,12516.916666666666,4642.75,13.735975458679492,2021
2021-01-01 19:00:00,18043.825911,12446.916666666666,4494.583333333333,14.76664889981618,2021
2021-01-01 20:00:00,17936.745787,12101.666666666666,4479.0,13.9383507220584,2021
2021-01-01 21:00:00,18247.3703599999,11919.25,4571.333333333333,16.637192315513136,2021
2021-01-01 22:00:00,18940.236721,11072.25,5034.416666666667,20.72436404626703,2021
2021-01-01 23:00:00,20068.873051,8658.083333333334,6067.416666666667,21.407311245894572,2021
2021-01-02 00:00:00,22226.001904,4307.75,8374.333333333334,30.044087876382605,2021
2021-01-02 01:00:00,25072.0600399999,3328.0,10876.416666666666,35.83388404738474,2021
2021-01-02 02:00:00,25383.37271,3459.25,11411.583333333334,34.4462605855875,2021
2021-01-02 03:00:00,25113.56723,3388.75,11241.25,33.59262378118372,2021
2021-01-02 04:00:00,24581.8451,3199.0833333333335,11235.333333333334,35.62925728438319,2021
2021-01-02 05:00:00,23854.95929,2758.1666666666665,10892.0,34.938316340999904,2021
2021-01-02 06:00:00,22620.72811,2631.8333333333335,10424.083333333334,32.59219999354248,2021
2021-01-02 07:00:00,21299.547154,2627.6666666666665,9423.75,29.314172375634083,2021
2021-01-02 08:00:00,20637.8841909999,2603.1666666666665,8883.166666666666,27.189700628427214,2021
2021-01-02 09:00:00,19913.3608289999,2604.0,8391.833333333334,26.667207598845057,2021
2021-01-02 10:00:00,19437.5534849999,2740.3333333333335,7466.166666666667,26.989525199099525,2021
2021-01-02 11:00:00,19257.6578669999,2616.8333333333335,7173.0,27.845739115636828,2021
2021-01-02 12:00:00,19387.519021,2850.8333333333335,7154.75,27.99274105545851,2021
2021-01-02 13:00:00,19886.669486,3489.5,7047.416666666667,27.957542729135717,2021
2021-01-02 14:00:00,20720.00698,4010.0,7164.083333333333,29.066481229444538,2021
2021-01-02 15:00:00,21196.929066,5043.75,7058.916666666667,27.349545673265897,2021
2021-01-02 16:00:00,21165.613445,8110.25,6340.5,24.223270245028207,2021
2021-01-02 17:00:00,20756.052716,10793.583333333334,5334.166666666667,16.110683104489194,2021
2021-01-02 18:00:00,20507.437765,11615.916666666666,4930.25,16.863539908669615,2021
2021-01-02 19:00:00,20393.207161,11871.333333333334,4682.333333333333,17.162177970425894,2021
2021-01-02 20:00:00,20374.132086,11667.5,4589.333333333333,16.889576683071972,2021
2021-01-02 21:00:00,20689.307394,11959.583333333334,4779.583333333333,13.211032451692908,2021
2021-01-02 22:00:00,21145.695979,10591.25,5219.25,22.846572862720436,2021
2021-01-02 23:00:00,21970.233451,7578.25,6524.75,34.22962892703822,2021
2021-01-03 00:00:00,23417.94755,4735.083333333333,8881.166666666666,34.39365790765974,2021
2021-01-03 01:00:00,25921.91506,4730.416666666667,10589.083333333334,30.407123878103757,2021
2021-01-03 02:00:00,26164.4557199999,4803.416666666667,10942.166666666666,32.464816017499444,2021
2021-01-03 03:00:00,25651.74931,4719.166666666667,10628.333333333334,33.20669282221222,2021
2021-01-03 04:00:00,24847.3500799999,4796.666666666667,10147.25,33.606780665481,2021
2021-01-03 05:00:00,24029.73999,4813.75,9202.833333333334,29.80560195087856,2021
2021-01-03 06:00:00,22739.200899,5062.166666666667,8571.333333333334,28.266869577332994,2021
2021-01-03 07:00:00,21441.14006,4741.416666666667,7666.833333333333,26.255109050461744,2021
2021-01-03 08:00:00,20583.059837,4109.0,7451.0,26.28811041951718,2021
2021-01-03 09:00:00,19781.361097,3918.6666666666665,7002.666666666667,27.29449408816917,2021
2021-01-03 10:00:00,19265.655533,4259.25,6425.25,25.264032635652843,2021
2021-01-03 11:00:00,19053.98316,4469.75,6183.833333333333,21.683846375113635,2021
2021-01-03 12:00:00,19171.573589,4381.75,6222.583333333333,23.99218172011893,2021
2021-01-03 13:00:00,19571.385327,4400.166666666667,6207.666666666667,25.806164194043472,2021
2021-01-03 14:00:00,20234.597674,4916.666666666667,6374.75,26.155043831882857,2021
2021-01-03 15:00:00,20618.719827,5782.5,6321.25,23.34743364009531,2021
2021-01-03 16:00:00,20727.0611179999,8653.75,5878.333333333333,21.010488450978887,2021
2021-01-03 17:00:00,20124.551855,10446.666666666666,5354.75,19.76946293201589,2021
2021-01-03 18:00:00,19600.28624,10850.666666666666,4996.25,18.389952526608266,2021
2021-01-03 19:00:00,19243.698152,11119.916666666666,4876.25,16.441145813027727,2021
2021-01-03 20:00:00,19061.2401999999,11186.916666666666,4787.583333333333,15.870600270743571,2021
2021-01-03 21:00:00,19369.0202079999,10742.833333333334,5166.75,12.864418188263713,2021
2021-01-03 22:00:00,19870.103534,10421.416666666666,5958.666666666667,0.5097099241782593,2021
